LS01A1,LS01D,LS02A1,LS02C1,LS02D,LS03A2,LS03D,LS04A,LS04C,LS04D,LS05A1,LS05C,LS05D,LS06A2,LS06C,LS06D,LS07A,LS07D,LS08A,LS08C,LS08D,LS09A,LS09C,LS09D,LS10A,LS10C,LS10D,LS11A1,LS11C,LS11D,LS12A1,LS12C,LS13A1,LS13D,LS14A1,LS14C,LS15A1,LS15C,LS15D,LS16B,LS16C,LS16D,LS17A,LS17C,LS17D,LS18A1,LS18C,LS18D,LS19A1,LS19C,LS19D,LS20A1,LS20D,LS21D,LS22A1,LS22C,LS22D,LS23A,LS23C,LS24B,LS24C,LS24D,LS25A1,LS25C,LS25D,LS26B,LS26C,LS26D,LS27A,LS27C,LS27D
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,209387,0,94082,0,49184,0,0,0,40053,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9882,0,0,0
0,1072,605,0,1040,3207,29496,5838,0,38402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3847,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0
0,0,0,0,333,37157,106653,99151,6820,729062,0,0,0,2629,93445,1701,0,0,652,0,520,603,0,0,1437,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0,426,5917,289,0,98,0,0,9843,0,0,3925
0,0,0,0,761,0,2828,0,0,0,0,0,0,0,0,0,0,0,10616,0,0,177,0,57,120,0,0,0,0,2502,0,0,699,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,4148,0,0,0,0,0,0,0,3639,6592,1877,0,0,0,294,0,0,0,13616
1077,16558,56496,0,9248,245,88371,22983,0,0,0,0,79959,32655,0,797406,0,0,114951,3309,17247,5577,7128,1204,443613,407,1537426,0,0,2461,0,0,73227,16413,0,0,0,0,2520,0,0,0,0,0,0,0,0,58717,0,0,0,0,1595,75146,0,0,1536,359914,0,243,20408,18373,169981,0,100120,0,0,0,0,0,6014
0,0,179,0,0,11830,0,23993,0,8600,0,0,52643,6368,0,8495,0,0,4950,0,0,3892,0,0,3586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132
764,25358,165944,0,34780,18443,6813,494703,0,0,0,0,112852,89251,0,171004,1734,0,470502,0,21346,15947,0,5739,8078,0,27648,0,0,205152,0,0,61738,21167,0,0,0,0,5231,56612,0,0,0,0,0,0,0,38842,0,0,0,3613,3669,10839,0,0,0,278173,38643,0,0,10946,418790,0,3230,28888,0,0,219,0,7390
763,161,0,0,0,0,25980,0,0,0,0,1239,46603,0,0,225138,0,0,0,0,11877,0,0,0,126162,536,522900,0,0,0,0,0,851,6178,0,0,0,0,12301,6933,0,0,0,0,0,0,0,1947,0,0,0,7230,12987,16999,0,0,980,0,2698,417,3063,13681,0,0,5352,0,0,930,55,0,12313
4705,29434,65993,207,13939,127048,13688,4016,13200,1175,0,42372,377343,18971,64820,33041,0,0,26534,48614,12792,7484,102,11827,6237,127888,59728,172956,154671,45624,41758,93420,53302,69442,0,31803,0,0,18651,13594,155,0,0,0,0,123196,146904,44994,0,0,1488,37543,20030,12458,0,0,0,69850,137591,166556,37394,98674,290708,147790,18530,228517,133550,0,8870,189547,24378
0,0,0,0,0,0,494,0,0,0,0,0,90345,0,0,1160,0,0,10397,0,0,0,0,0,32977,0,548419,0,0,0,0,0,618,7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,888,0,0,0,0,0,0,0,31582,30441,0,45,0,0,0,0,0,8481
17174,66212,165558,3846,36945,353739,32194,17483,48108,7156,431,136606,625981,64863,277503,91243,867,0,86393,203753,32827,11289,2441,42663,18189,505367,362167,598658,536792,159771,126210,280842,151921,162391,0,118266,0,0,32035,48827,3632,0,0,0,0,237944,269523,90803,0,0,1099,133281,32162,3661,190,0,0,151468,484425,318120,84454,183509,949902,528686,26995,619100,492085,0,33412,492460,84498
0,4466,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10615,0,2002,0,0,0,0,0,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,1475,0,0,0,0,0,0,0,0,9915
